Channel 1,Channel 4
35763,17402
35778,17373
35757,17271
35749,17180
35813,17172
35891,17181
35915,17133
35932,17110
36003,17194
36077,17302
36097,17382
36112,17497
36168,17646
36216,17737
36216,17750
36219,17770
36257,17812
36273,17789
36237,17705
36209,17658
36213,17648
36184,17588
36111,17500
36063,17485
36043,17503
35978,17455
35872,17357
35792,17300
35726,17266
35607,17158
35456,17017
35346,16933
35253,16852
35114,16676
34959,16473
34860,16335
34787,16199
34675,16010
34560,15849
34504,15755
34464,15650
34371,15476
34269,15305
34222,15217
34178,15136
34074,14993
33967,14873
33920,14814
33873,14724
33768,14566
33667,14431
33624,14368
33576,14276
33479,14126
33389,14020
33342,13945
33285,13816
33195,13665
33135,13571
33118,13512
33074,13404
32992,13266
32938,13185
32917,13136
32862,13039
32779,12910
32737,12823
32717,12752
32647,12625
32547,12495
32500,12461
32492,12465
32449,12417
32404,12387
32440,12468
32536,12606
32620,12716
32733,12865
32950,13156
33229,13514
33490,13842
33770,14205
34131,14674
34508,15177
34828,15653
35146,16169
35523,16762
35896,17346
36201,17852
36497,18354
36834,18901
37140,19385
37362,19762
37561,20134
37779,20513
37955,20801
38049,21009
38126,21228
38212,21427
38242,21508
38207,21485
38187,21463
38183,21446
38122,21354
38017,21227
37942,21165
37887,21124
37783,20997
37649,20820
37564,20685
37505,20545
37395,20325
37264,20101
37185,19957
37127,19824
37013,19619
36880,19414
36802,19290
36739,19157
36622,18926
36501,18695
36443,18552
36391,18411
36281,18214
36171,18062
36132,18014
36113,17979
36052,17888
36003,17814
36022,17819
36048,17808
36026,17737
36013,17705
36051,17716
36081,17678
36066,17626
36075,17670
36131,17787
36161,17849
36157,17846
36194,17882
36274,17948
36319,17939
36329,17887
36372,17905
36434,17960
36435,17958
36394,17962
36392,18062
36409,18182
36374,18227
36313,18245
36299,18314
36306,18366
36256,18307
36179,18205
36145,18128
36120,18005
36030,17790
35924,17576
35875,17450
35835,17356
35737,17214
35636,17080
35593,17006
35543,16926
35430,16805
35322,16715
35278,16662
35237,16544
35149,16342
35071,16166
35042,16063
34995,15937
34901,15761
34830,15630
34803,15548
34747,15410
34653,15238
34588,15153
34554,15143
34484,15080
34383,14989
34332,14980
34320,14993
34265,14919
34175,14812
34129,14762
34115,14701
34062,14556
33989,14414
33958,14368
33939,14345
33870,14257
33794,14158
33772,14124
33763,14088
33701,13972
33634,13859
33630,13838
33636,13827
33586,13750
33539,13717
33573,13805
33645,13910
33699,13969
33798,14075
34006,14288
34262,14546
34508,14834
34799,15222
35167,15724
35541,16252
35876,16791
36238,17433
36657,18147
37058,18787
37415,19348
37792,19923
38187,20492
38515,20962
38768,21358
39020,21782
39264,22218
39431,22553
39538,22811
39663,23086
39789,23309
39837,23405
39836,23465
39867,23552
39901,23595
39862,23540
39784,23469
39740,23457
39695,23423
39582,23296
39459,23155
39408,23061
39368,22927
39259,22709
39151,22505
39114,22376
39077,22234
38966,22022
38842,21830
38772,21715
38694,21590
38552,21408
38416,21258
38338,21158
38252,20998
38118,20786
38007,20655
37951,20589
37879,20464
37780,20303
37730,20225
37730,20193
37692,20099
37618,20003
37595,20018
37623,20098
37622,20121
37607,20100
37653,20132
37727,20172
37746,20126
37741,20067
37795,20104
37869,20157
37877,20131
37855,20127
37890,20236
37938,20363
37918,20403
37892,20436
37942,20531
37998,20566
37974,20466
37926,20351
37932,20309
37926,20257
37842,20130
37753,20032
37727,20020
37696,19974
37595,19861
37497,19793
37464,19762
37420,19648
37310,19455
37209,19308
37151,19220
37061,19094
36927,18935
36833,18836
36789,18782
36711,18655
36594,18465
36520,18334
36482,18253
36389,18110
36256,17940
36175,17857
36133,17799
36035,17652
35905,17499
35834,17431
35792,17348
35692,17142
35573,16920
35523,16805
35495,16720
35404,16591
35299,16496
35263,16476
35236,16434
35138,16309
35039,16196
35017,16170
35003,16130
34917,16017
34827,15924
34801,15900
34766,15855
34665,15740
34576,15646
34552,15602
34520,15495
34431,15326
34352,15226
34320,15192
34266,15103
34175,14962
34122,14868
34119,14815
34086,14725
34033,14645
34061,14696
34165,14841
34256,14984
34357,15178
34565,15509
34862,15928
35152,16349
35452,16810
35841,17382
36278,17982
36670,18485
37044,18971
37468,19569
37886,20189
38211,20701
38487,21187
38795,21744
39082,22276
39273,22690
39439,23055
39656,23418
39853,23680
39952,23795
40018,23881
40117,23995
40175,24059
40137,24040
40085,24023
40073,24049
40038,24014
39944,23881
39860,23765
39816,23685
39742,23513
39615,23269
39513,23096
39452,22987
39347,22835
39192,22664
39079,22574
39012,22521
38906,22386
38770,22191
38693,22038
38653,21908
38557,21720
38431,21533
38367,21436
38338,21351
38259,21190
38164,21036
38132,20992
38119,20956
38044,20821
37964,20687
37967,20649
37996,20631
37966,20543
37938,20469
37990,20496
38054,20542
38057,20527
38063,20529
38134,20607
38206,20671
38214,20686
38223,20741
38290,20842
38346,20873
38336,20832
38319,20847
38344,20909
38347,20887
38300,20793
38278,20760
38293,20781
38267,20740
38193,20669
38154,20665
38149,20667
38088,20567
37986,20414
37934,20335
37915,20298
37834,20209
37712,20108
37639,20063
37591,20001
37487,19843
37363,19677
37301,19599
37265,19534
37176,19391
37080,19241
37051,19155
37026,19051
36920,18871
36799,18725
36746,18676
36699,18592
36590,18386
36488,18169
36453,18026
36409,17887
36300,17722
36194,17617
36152,17572
36106,17482
36005,17344
35922,17270
35896,17268
35845,17209
35744,17078
35674,17000
35644,16967
35566,16858
35444,16709
35373,16627
35346,16559
35272,16399
35163,16197
35112,16084
35102,16028
35048,15922
34973,15819
34952,15795
34951,15771
34885,15653
34797,15524
34770,15484
34759,15458
34680,15360
34586,15260
34568,15227
34571,15167
34510,15012
34444,14873
34449,14837
34457,14814
34403,14725
34368,14690
34425,14805
34514,14966
34580,15112
34699,15354
34932,15715
35201,16058
35453,16365
35752,16773
36131,17295
36502,17806
36830,18308
37191,18905
37596,19567
37951,20160
38246,20684
38575,21229
38931,21770
39210,22208
39413,22561
39619,22919
39815,23229
39924,23398
39979,23500
40068,23651
40154,23804
40153,23860
40111,23870
40113,23927
40115,23955
40038,23859
39942,23716
39910,23632
39879,23539
39767,23350
39634,23166
39565,23072
39498,22976
39360,22800
39224,22630
39162,22524
39099,22386
38969,22172
38839,21981
38767,21845
38683,21665
38535,21438
38397,21267
38310,21130
38201,20929
38038,20711
37905,20599
37828,20547
37731,20422
37611,20255
37562,20170
37577,20157
37558,20109
37508,20043
37517,20070
37563,20124
37560,20086
37529,20026
37555,20043
37612,20066
37612,20014
37586,19994
37621,20102
37671,20213
37656,20217
37631,20222
37670,20312
37710,20390
37679,20399
37647,20410
37683,20469
37714,20494
37668,20420
37610,20318
37611,20252
37600,20157
37502,20004
37390,19898
37333,19873
37261,19813
37118,19684
36982,19603
36898,19571
36797,19455
36649,19265
36537,19127
36481,19020
36391,18839
36254,18619
36161,18475
36109,18370
36007,18170
35870,17933
35788,17799
35742,17714
35642,17565
35513,17414
35440,17361
35398,17336
35303,17250
35188,17164
35130,17133
35093,17067
34997,16896
34890,16742
34854,16705
34829,16666
34730,16530
34620,16397
34587,16337
34562,16265
34466,16136
34371,16046
34346,16027
34319,15971
34226,15837
34138,15717
34111,15649
34067,15543
33957,15395
33855,15314
33807,15290
33742,15222
33635,15115
33565,15053
33549,15001
33507,14878
33439,14759
33433,14754
33490,14807
33526,14801
33557,14795
33671,14940
33852,15190
34013,15404
34179,15628
34433,15984
34740,16410
35010,16783
35277,17187
35615,17731
35973,18287
36268,18750
36543,19235
36871,19805
37184,20315
37398,20672
37573,20995
37795,21360
37993,21663
38078,21847
38120,22019
38201,22228
38262,22371
38239,22392
38205,22408
38218,22461
38205,22447
38115,22357
38020,22282
37962,22214
37869,22060
37721,21846
37596,21685
37509,21548
37374,21331
37191,21075
37053,20899
36959,20764
36818,20552
36634,20288
36498,20079
36405,19886
36274,19602
36123,19298
36028,19104
35966,18976
35861,18796
35737,18599
35676,18477
35649,18375
35578,18220
35506,18092
35503,18063
35506,18046
35448,17961
35390,17904
35404,17952
35432,18007
35403,18000
35379,18014
35430,18101
35495,18149
35501,18107
35503,18081
35561,18130
35612,18175
35603,18177
35606,18197
35657,18242
35681,18227
35652,18156
35647,18131
35680,18152
35676,18113
35628,18026
35613,18003
35623,18023
35578,17981
35495,17923
35461,17930
35458,17930
35401,17836
35311,17716
35261,17663
35225,17612
35127,17477
35000,17336
34924,17271
34870,17183
34762,16970
34643,16743
34588,16620
34545,16506
34442,16317
34332,16133
34289,16024
34256,15915
34163,15761
34066,15652
34027,15619
33979,15547
33859,15384
33736,15246
33672,15189
33605,15099
33497,14953
33415,14857
33392,14810
33362,14706
33295,14539
33250,14428
33239,14388
33182,14309
33079,14202
33016,14157
32996,14131
32939,14033
32852,13915
32812,13873
32802,13872
32745,13814
32665,13725
32650,13718
32678,13755
32684,13741
32710,13755
32832,13902
33010,14121
33175,14312
33371,14539
33662,14906
33986,15342
34269,15744
34562,16191
34929,16754
35305,17316
35619,17805
35928,18316
36290,18886
36640,19417
36913,19860
37159,20306
37426,20777
37657,21147
37808,21400
37937,21654
38077,21921
38168,22090
38192,22164
38220,22270
38263,22399
38248,22433
38180,22377
38142,22335
38119,22313
38035,22218
37907,22056
37816,21923
37747,21812
37618,21630
37457,21408
37348,21257
37272,21134
37151,20931
37011,20711
36926,20556
36861,20389
36740,20148
36606,19939
36534,19849
36476,19773
36356,19619
36230,19466
36177,19368
36139,19263
36048,19109
35960,18970
35939,18904
35929,18842
35870,18737
35826,18665
35852,18654
35888,18606
35888,18520
35903,18518
35966,18597
36013,18632
36020,18621
36060,18674
36141,18774
36178,18822
36169,18860
36201,18971
36269,19100
36285,19150
36262,19157
36284,19207
36328,19251
36317,19210
36274,19144
36272,19149
36283,19163
36231,19091
36150,19008
36116,18998
36092,18965
36009,18821
35916,18683
35888,18639
35872,18592
35787,18447
35683,18282
35639,18195
35600,18121
35497,17975
35388,17839
35344,17761
35308,17644
35216,17454
35132,17296
35113,17199
35085,17069
34997,16892
34918,16758
34887,16662
34833,16520
34733,16355
34662,16267
34629,16232
34553,16134
34445,15979
34390,15878
34374,15825
34307,15714
34204,15569
34151,15489
34131,15436
34061,15319
33967,15196
33932,15165
33928,15164
33886,15115
33843,15090
33878,15148
33958,15225
34010,15275
34084,15384
34265,15613
34506,15895
34723,16189
34967,16577
35311,17097
35692,17651
36029,18180
36371,18750
36775,19379
37174,19972
37497,20501
37801,21039
38139,21594
38450,22063
38682,22433
38896,22808
39134,23188
39324,23459
39439,23637
39549,23852
39666,24085
39724,24222
39725,24294
39751,24384
39791,24432
39762,24363
39678,24252
39628,24190
39604,24112
39519,23929
39394,23709
39321,23544
39271,23397
39158,23223
39024,23091
38961,23036
38931,22942
38843,22733
38735,22523
38681,22410
38632,22312
38513,22146
38392,21998
38344,21920
38300,21807
38188,21598
38073,21413
38025,21319
37978,21210
37871,21039
37772,20913
37743,20878
37722,20840
37661,20785
37624,20795
37652,20850
37669,20852
37643,20813
37652,20861
37716,20982
37748,21034
37737,21013
37777,21036
37863,21092
37895,21092
37890,21074
37936,21115
38004,21172
38005,21152
37970,21097
37986,21117
38019,21164
37983,21128
37923,21059
37922,21046
37929,21029
37863,20926
37777,20809
37756,20769
37747,20715
37669,20569
37585,20444
37574,20396
37563,20293
37472,20088
37376,19907
37351,19809
37317,19710
37197,19571
37068,19482
37007,19455
36947,19355
36820,19177
36695,19055
36627,18995
36550,18868
36425,18674
36331,18548
36300,18465
36243,18300
36142,18100
36093,17974
36094,17888
36047,17739
35957,17549
35914,17437
35899,17376
35825,17244
35718,17102
35660,17072
35623,17073
35528,16997
35414,16910
35363,16874
35337,16800
35250,16625
35155,16482
35143,16479
35160,16508
35126,16468
35115,16465
35217,16605
35372,16796
35504,16942
35682,17149
35973,17518
36295,17949
36576,18365
36891,18862
37305,19478
37741,20105
38130,20696
38528,21338
38973,22028
39387,22614
39726,23085
40056,23580
40407,24096
40702,24502
40919,24805
41136,25131
41359,25464
41502,25692
41576,25855
41677,26055
41792,26253
41829,26335
41804,26348
41810,26415
41826,26488
41766,26478
41669,26446
41626,26482
41604,26509
41521,26424
41418,26302
41381,26239
41364,26133
41282,25897
41188,25666
41165,25554
41144,25454
41041,25265
40928,25069
40887,24938
40848,24780
40739,24558
40631,24391
40587,24319
40530,24214
40402,24036
40285,23908
40238,23857
40186,23743
40092,23564
40032,23459
40033,23425
40013,23346
39951,23234
39922,23219
39932,23275
39902,23257
39833,23200
39818,23225
39846,23283
39829,23259
39782,23213
39795,23253
39839,23312
39820,23293
39766,23265
39763,23332
39779,23403
39735,23349
39677,23272
39690,23301
39721,23322
39681,23216
39630,23092
39640,23045
39643,22969
39559,22788
39457,22629
39418,22579
39377,22515
39258,22365
39133,22246
39076,22215
39016,22152
38891,22005
38770,21879
38703,21788
38618,21615
38475,21373
38357,21192
38292,21077
38192,20910
38050,20704
37960,20596
37923,20557
37836,20461
37705,20337
37632,20292
37603,20267
37522,20140
37414,19985
37369,19925
37361,19884
37297,19733
37202,19561
