Channel 1,Channel 4
8944,32802
8903,32755
8864,32709
8832,32664
8806,32613
8774,32553
8737,32495
8705,32443
8676,32397
8649,32360
8624,32328
8600,32292
8574,32248
8548,32201
8524,32154
8498,32107
8466,32058
8427,32006
8384,31960
8341,31925
8298,31886
8254,31838
8214,31787
8178,31736
8136,31683
8087,31625
8040,31559
7998,31485
7955,31405
7906,31323
7853,31248
7800,31178
7749,31109
7701,31046
7658,30991
7622,30936
7592,30874
7564,30812
7537,30757
7506,30705
7472,30647
7439,30585
7406,30523
7374,30459
7340,30396
7308,30337
7278,30282
7250,30229
7219,30173
7183,30120
7147,30072
7111,30022
7073,29972
7034,29925
6992,29879
6946,29831
6901,29783
6860,29732
6819,29681
6777,29624
6729,29553
6677,29481
6628,29423
6578,29375
6529,29325
6484,29277
6447,29236
6428,29215
6439,29235
6486,29310
6573,29446
6707,29648
6887,29917
7105,30242
7351,30611
7619,31025
7906,31478
8204,31952
8501,32436
8791,32916
9070,33378
9336,33816
9591,34233
9834,34624
10058,34985
10260,35314
10437,35600
10588,35838
10708,36032
10799,36174
10863,36270
10903,36332
10917,36361
10910,36350
10882,36308
10841,36245
10795,36163
10750,36064
10705,35958
10659,35855
10609,35761
10556,35677
10507,35595
10464,35514
10427,35447
10396,35401
10370,35368
10348,35343
10334,35322
10333,35299
10334,35276
10329,35260
10324,35247
10328,35234
10339,35225
10351,35222
10358,35219
10352,35219
10337,35217
10316,35207
10288,35187
10254,35157
10216,35115
10176,35067
10144,35016
10122,34961
10108,34907
10097,34860
10085,34824
10075,34799
10074,34785
10083,34779
10098,34781
10118,34788
10140,34795
10166,34802
10191,34817
10209,34847
10222,34886
10234,34925
10244,34964
10249,34995
10254,35016
10257,35033
10257,35041
10254,35037
10245,35030
10231,35019
10211,34998
10186,34966
10157,34922
10127,34867
10095,34800
10063,34728
10028,34663
9986,34602
9937,34536
9883,34450
9831,34338
9783,34228
9737,34132
9687,34040
9627,33954
9566,33870
9507,33786
9445,33711
9380,33645
9317,33579
9257,33501
9201,33409
9152,33312
9111,33212
9073,33115
9031,33032
8989,32962
8951,32890
8916,32819
8882,32754
8850,32696
8821,32642
8793,32593
8761,32559
8727,32534
8697,32505
8674,32467
