Channel 1,Channel 2,Channel 3,Channel 4
21249,27623,44981,36672
21179,27552,44853,36558
21111,27485,44730,36455
21041,27419,44610,36348
20971,27352,44488,36228
20904,27286,44369,36106
20832,27224,44253,35989
20754,27160,44135,35873
20675,27093,44013,35750
20600,27027,43893,35629
20527,26965,43779,35509
20453,26902,43661,35383
20380,26834,43538,35256
20312,26767,43415,35140
20249,26705,43294,35039
20188,26642,43173,34936
20129,26580,43056,34822
20069,26522,42944,34708
20002,26461,42834,34602
19928,26398,42719,34496
19857,26336,42606,34388
19792,26283,42503,34284
19729,26233,42403,34185
19660,26178,42296,34087
19589,26118,42187,33991
19522,26064,42088,33904
19460,26017,41997,33818
19397,25966,41903,33722
19332,25913,41804,33630
19270,25864,41705,33549
19214,25819,41605,33468
19159,25769,41498,33378
19101,25714,41386,33281
19042,25661,41279,33182
18980,25610,41173,33085
18911,25554,41062,32989
18844,25500,40955,32895
18786,25458,40863,32806
18734,25422,40782,32717
18689,25388,40709,32632
18663,25369,40662,32575
18669,25379,40661,32566
18716,25424,40717,32607
18812,25505,40841,32701
18952,25624,41040,32867
19131,25780,41312,33115
19346,25969,41647,33432
19599,26185,42036,33801
19884,26426,42475,34212
20188,26689,42955,34657
20498,26960,43453,35120
20814,27231,43957,35588
21133,27502,44464,36062
21451,27774,44972,36540
21755,28037,45464,37001
22041,28283,45929,37445
22310,28514,46370,37876
22558,28729,46780,38284
22780,28922,47149,38647
22974,29090,47475,38965
23143,29238,47763,39253
23290,29368,48016,39509
23413,29473,48227,39717
23514,29553,48401,39879
23599,29621,48549,40015
23666,29679,48668,40138
23718,29720,48756,40237
23759,29751,48823,40306
23790,29780,48875,40357
23804,29802,48908,40402
23801,29811,48921,40438
23795,29815,48928,40460
23795,29823,48944,40480
23794,29827,48960,40500
23788,29823,48969,40512
23785,29822,48975,40520
23788,29827,48984,40532
23793,29833,48994,40541
23798,29837,49001,40537
23805,29843,49006,40538
23812,29847,49008,40556
23813,29845,49003,40563
23810,29838,48988,40544
23800,29827,48962,40517
23779,29811,48927,40488
23743,29782,48874,40442
23699,29737,48801,40378
23648,29685,48714,40302
23591,29632,48622,40215
23525,29573,48518,40112
23453,29503,48400,39997
23380,29434,48280,39882
23309,29372,48163,39774
23237,29312,48046,39661
23165,29248,47930,39547
23102,29187,47825,39447
23048,29134,47734,39366
22997,29083,47652,39286
22951,29033,47578,39200
22912,28991,47516,39128
22880,28959,47463,39080
22855,28932,47419,39042
22841,28911,47387,39005
22834,28900,47369,38977
22828,28894,47359,38958
22818,28886,47344,38940
22807,28877,47326,38922
22798,28874,47313,38908
22789,28873,47304,38895
22772,28865,47285,38874
22752,28851,47256,38855
22737,28839,47228,38842
22728,28831,47203,38814
22717,28816,47171,38764
22700,28792,47126,38717
22677,28768,47075,38683
22648,28741,47019,38648
22611,28706,46948,38599
22565,28661,46866,38536
22515,28616,46784,38456
22462,28568,46694,38364
22400,28513,46590,38268
22333,28453,46482,38170
22267,28396,46383,38070
22199,28339,46283,37964
22128,28278,46171,37850
22062,28217,46057,37734
22005,28157,45947,37616
21942,28094,45835,37495
21869,28026,45713,37375
21796,27962,45590,37264
21725,27903,45470,37165
21650,27843,45348,37064
21572,27780,45224,36955
21493,27718,45103,36843
21412,27660,44987,36731
21331,27601,44870,36614
21254,27538,44746,36492
21183,27478,44624,36372
21117,27420,44504,36258
21047,27357,44378,36147
20975,27289,44247,36038
20910,27225,44126,35930
20851,27166,44016,35817
20788,27102,43903,35698
20721,27031,43783,35583
20658,26963,43670,35478
20598,26901,43568,35371
20534,26836,43467,35255
20466,26767,43364,35145
20402,26705,43265,35049
20344,26652,43171,34949
20284,26596,43070,34829
20219,26538,42964,34711
20153,26486,42858,34611
20091,26441,42755,34519
20030,26398,42651,34424
19969,26354,42548,34338
19906,26313,42449,34265
19845,26272,42351,34195
19784,26227,42245,34119
19721,26180,42137,34034
19659,26134,42037,33938
19595,26084,41938,33836
19529,26024,41832,33734
19466,25963,41730,33628
19411,25911,41639,33524
19356,25862,41551,33428
19302,25818,41469,33347
19269,25792,41417,33293
19271,25797,41415,33281
19309,25831,41466,33314
19384,25893,41572,33399
19506,25994,41746,33555
19677,26139,41993,33790
19889,26319,42305,34090
20136,26529,42676,34434
20409,26765,43099,34821
20699,27021,43563,35249
20998,27288,44049,35705
21303,27557,44546,36171
21611,27831,45052,36641
21917,28102,45554,37113
22210,28361,46035,37581
22486,28603,46490,38032
22744,28835,46926,38455
22983,29051,47336,38843
23195,29242,47704,39194
23382,29406,48025,39512
23549,29552,48306,39797
23696,29682,48550,40039
23816,29786,48751,40232
23909,29865,48913,40391
23986,29931,49050,40531
24050,29987,49166,40650
24098,30027,49253,40737
24132,30050,49315,40797
24156,30066,49363,40844
24169,30075,49396,40884
24172,30072,49410,40914
24173,30063,49416,40924
24177,30057,49423,40923
24174,30051,49426,40917
24161,30041,49418,40909
24149,30036,49413,40907
24146,30046,49419,40918
24143,30057,49426,40924
24136,30059,49423,40913
24129,30057,49414,40902
24120,30053,49399,40904
24110,30040,49375,40901
24096,30020,49339,40874
24077,29995,49293,40833
24045,29966,49236,40783
24002,29926,49162,40718
23951,29875,49069,40636
23896,29821,48967,40543
23833,29764,48860,40443
23762,29702,48741,40331
23685,29633,48613,40210
23609,29563,48487,40094
23538,29494,48367,39985
23467,29426,48253,39868
23395,29359,48140,39749
23325,29298,48035,39649
23264,29247,47942,39572
23215,29205,47859,39503
23177,29173,47793,39433
23151,29150,47744,39376
23130,29131,47708,39343
23112,29114,47679,39319
23100,29103,47659,39292
23096,29103,47650,39272
23093,29104,47642,39272
23089,29100,47631,39279
23092,29095,47622,39277
23102,29095,47621,39269
23105,29093,47618,39263
23096,29083,47604,39253
23084,29073,47587,39239
23075,29070,47572,39228
23061,29064,47552,39213
23040,29046,47521,39182
23016,29023,47479,39139
22989,29001,47432,39095
22953,28971,47375,39037
22910,28928,47304,38952
